Date,Close/Last,Volume,Open,High,Low
11/21/2024,8635.00,N/A,8635.00,8635.00,8635.00
11/20/2024,8492.00,N/A,8492.00,8492.00,8492.00
11/19/2024,8563.00,N/A,8563.00,8563.00,8563.00
11/18/2024,8315.00,N/A,8315.00,8315.00,8315.00
11/15/2024,8504.00,N/A,8504.00,8504.00,8504.00
11/14/2024,8686.00,N/A,8686.00,8686.00,8686.00
11/13/2024,8163.00,N/A,8163.00,8163.00,8163.00
11/12/2024,7867.00,N/A,7867.00,7867.00,7867.00
11/11/2024,7298.00,N/A,7298.00,7298.00,7298.00
11/08/2024,7117.00,N/A,7117.00,7117.00,7117.00
11/07/2024,7360.00,N/A,7360.00,7360.00,7360.00
11/06/2024,6924.00,N/A,6924.00,6924.00,6924.00
11/05/2024,7251.00,N/A,7251.00,7251.00,7251.00
11/04/2024,7328.00,N/A,7328.00,7328.00,7328.00
11/01/2024,7341.00,N/A,7341.00,7341.00,7341.00
10/31/2024,6542.00,N/A,6542.00,6542.00,6542.00
10/30/2024,7391.00,N/A,7391.00,7391.00,7391.00
10/29/2024,7267.00,N/A,7267.00,7267.00,7267.00
10/28/2024,6917.00,N/A,6917.00,6917.00,6917.00
10/25/2024,6770.00,N/A,6770.00,6770.00,6770.00
10/24/2024,6756.00,N/A,6756.00,6756.00,6756.00
10/23/2024,7001.00,N/A,7001.00,7001.00,7001.00
10/22/2024,7140.00,N/A,7140.00,7140.00,7140.00
10/21/2024,7394.00,N/A,7394.00,7394.00,7394.00
